stco,year,soil_jul,vpd_jul,pr_jul,tmmx_jul
27085,1981,142.645,97.567,97.987,282.03
27095,1981,1077.284,80.684,75.103,267.051
27143,1981,148.048,95.564,110.008,282.874
27171,1981,220.623,95.012,88.784,280.194
27139,1981,152.888,89.181,121.129,278.136
27025,1981,841.381,85.406,81.655,269.258
27037,1981,265.694,90.165,122.208,277.572
27003,1981,490.856,92.439,88.68,274.774
27123,1981,300.652,98.195,103.382,278.18
27059,1981,745.745,84.995,79.928,270.578
27163,1981,567.409,91.337,103.003,274.416
27141,1981,416.377,92.049,79.316,278.211
27079,1981,161.568,88.917,125.438,280.026
27019,1981,153.296,92.772,108.533,280.025
27053,1981,200.005,95.016,103.164,279.111
27049,1981,611.161,83.41,140.045,274.745
27009,1981,572.788,92.656,70.712,276.513
27145,1981,316.766,99.545,73.865,279.553
27027,1981,120.515,101.747,103.362,278.961
27167,1981,89.215,103.45,104.87,282.09
27149,1981,130.767,90.563,100.72,277.232
27069,1981,249.735,75.01,39.04,262.818
27097,1981,667.114,90.901,76.101,273.347
27117,1981,134.977,99.073,105.245,286.271
27129,1981,130.042,99.448,94.782,285.196
27087,1981,399.711,83.095,104.933,264.849
27047,1981,374.326,84.922,147.714,277.093
27041,1981,260.625,87.546,88.312,269.087
27007,1981,699.794,76.485,88.496,257.529
27021,1981,1074.258,78.048,96.332,259.766
27035,1981,1062.493,86.616,84.705,268.474
27137,1981,570.703,77.774,71.369,250.999
27017,1981,896.615,76.758,74.703,260.469
27091,1981,198.482,86.143,121.226,282.078
27111,1981,315.629,85.808,106.495,267.445
27119,1981,232.982,92.376,86.51,273.377
27061,1981,844.844,79.388,86.243,258.484
27055,1981,797.562,82.571,136.273,271.352
27083,1981,144.7,100.029,107.359,285.285
27147,1981,457.977,85.092,145.993,277.168
27067,1981,228.586,100.049,83.685,281.27
27169,1981,893.93,83.77,147.077,273.155
27105,1981,162.512,90.541,115.512,283.358
29187,1981,1599.498,94.39,193.806,307.592
29071,1981,1590.376,101.382,231.325,312.235
29183,1981,1457.207,98.139,273.621,307.187
29219,1981,1578.558,97.693,259.796,306.347
29189,1981,1280.916,98.879,251.332,306.535
29099,1981,1346.236,99.989,206.617,311.108
29113,1981,1584.56,96.357,273.098,305.772
29209,1981,583.841,122.108,106.342,318.891
29213,1981,573.393,124.095,109.035,324.896
29043,1981,897.454,118.549,107.592,315.392
29225,1981,1534.568,115.487,110.178,312.016
29059,1981,1620.639,119.689,107.684,316.698
29167,1981,1311.389,125.556,90.954,319.643
29077,1981,1179.213,122.545,97.021,315.765
29173,1981,1134.468,95.255,299.75,299.472
29127,1981,1061.776,93.943,306.044,297.657
29111,1981,1015.237,91.46,264.517,295.201
29017,1981,1514.097,104.176,205.644,317.125
29031,1981,1535.629,108.75,205.665,318.668
29201,1981,1514.286,112.064,187.895,320.791
29145,1981,380.521,131.812,94.405,319.613
29097,1981,509.279,137.545,86.122,322.27
29037,1981,842.771,118.012,149.353,313.3
29165,1981,998.039,112.737,180.413,308.053
29177,1981,955.49,105.54,210.267,308.024
29107,1981,1027.202,109.497,206.687,310.43
29025,1981,950.579,100.335,205.194,305.12
29095,1981,994.881,111.347,182.56,307.902
29049,1981,903.444,103.729,187.518,305.002
29013,1981,598.724,129.334,107.843,321.158
29047,1981,941.272,108.49,188.648,306.132
29021,1981,786.868,109.123,175.315,308.462
29003,1981,502.608,101.917,177.702,304.784
29063,1981,746.637,99.758,188.845,303.602
29101,1981,1001.939,112.965,175.88,312.066
29019,1981,1096.153,105.613,267.936,306.035
29007,1981,1103.472,98.701,277.324,302.685
29175,1981,963.795,100.881,285.292,302.219
29083,1981,850.976,121.435,129.051,318.259
29011,1981,710.518,138.497,85.65,323.458
29103,1981,947.193,92.042,246.348,296.803
29117,1981,968.461,98.695,228.34,304.99
29123,1981,1681.239,99.653,195.203,314.018
29125,1981,1731.195,109.721,200.038,313.456
29109,1981,765.06,127.491,91.249,315.76
29179,1981,1333.178,103.645,171.286,315.515
29005,1981,177.827,103.694,149.483,304.852
29081,1981,905.018,90.841,215.627,299.172
29067,1981,929.458,116.931,112.272,319.294
29093,1981,1643.245,97.048,184.794,310.325
29079,1981,978.765,95.138,242.692,302.033
29163,1981,1358.259,94.217,275.613,300.914
29089,1981,1026.849,106.292,259.908,306.694
29221,1981,1721.229,97.037,200.254,310.044
29131,1981,1578.653,115.923,177.869,317.292
29139,1981,1408.925,98.09,261.658,304.889
29153,1981,599.169,120.846,103.65,324.703
29041,1981,977.997,100.879,259.619,303.811
29223,1981,1491.808,110.29,185.647,321.856
29039,1981,919.57,134.794,80.642,324.375
29149,1981,717.857,114.581,117.356,324.756
29073,1981,1734.281,102.683,231.76,311.541
29087,1981,276.346,106.985,165.031,307.798
29055,1981,1795.044,102.9,205.788,314.443
29186,1981,1493.777,98.532,206.152,310.587
29227,1981,566.448,89.128,186.518,298.055
29085,1981,1363.563,122.83,111.85,318.42
29009,1981,511.06,122.817,104.948,314.683
29181,1981,853.652,118.861,136.845,328.219
29207,1981,1139.152,115.607,171.882,324.584
29075,1981,671.398,94.807,197.075,302.135
29171,1981,1053.419,87.946,249.718,294.906
29033,1981,979.907,104.964,232.365,308.422
29217,1981,559.742,138.871,82.57,326.238
29015,1981,1208.448,119.075,151.742,317.193
29065,1981,1594.404,106.179,174.844,312.849
29185,1981,901.866,129.043,95.217,322.303
29129,1981,995.58,89.108,236.801,296.867
29137,1981,1010.898,99.863,299.174,303.777
29155,1981,560.678,122.523,119.941,327.972
29143,1981,1010.384,117.714,156.289,325.587
29029,1981,1615.2,119.378,150.223,318.927
29229,1981,1571.181,114.162,123.911,314.914
29053,1981,1101.244,111.766,234.667,310.616
29211,1981,1058.051,92.45,261.551,298.099
29115,1981,1035.236,96.138,258.077,300.97
29215,1981,1376.718,109.784,139.036,314.354
29141,1981,1269.456,114.822,185.679,314.048
29035,1981,1023.998,112.489,157.392,323.753
29133,1981,1541.195,112.496,183.379,321.337
29121,1981,964.4,98.034,280.474,300.791
29061,1981,960.835,97.667,211.027,304.478
29205,1981,956.39,97.287,282.139,301.052
29203,1981,1065.571,108.834,150.308,318.114
29157,1981,1486.458,105.427,214.573,316.252
29057,1981,1073.892,133.983,90.422,321.746
29199,1981,995.444,88.978,221.0,295.501
29119,1981,315.458,131.187,106.361,321.982
29169,1981,1740.341,118.619,154.307,319.826
29045,1981,1038.785,88.589,232.053,293.231
29051,1981,1446.995,111.494,216.304,312.316
29151,1981,1659.434,106.098,221.401,311.865
29135,1981,1222.025,113.482,219.61,312.107
29027,1981,1289.595,101.696,255.655,305.63
29069,1981,416.095,126.895,114.125,331.389
29001,1981,997.041,92.73,260.128,297.294
29197,1981,1012.929,88.399,232.483,294.431
29105,1981,1742.247,117.304,132.204,316.478
29195,1981,1037.147,108.613,231.934,309.498
29147,1981,419.843,95.419,175.718,302.016
29023,1981,861.316,119.667,147.03,326.787
29161,1981,1776.576,113.246,188.581,316.302
29159,1981,1053.736,113.035,199.865,312.301
29091,1981,764.293,111.078,110.086,318.715
31043,1981,115.37,100.414,94.142,292.809
31051,1981,122.044,102.494,99.139,291.992
31053,1981,107.587,107.377,63.718,298.766
31025,1981,124.921,106.855,96.182,300.404
31055,1981,112.799,106.875,70.672,297.781
31153,1981,118.971,106.092,80.15,298.36
31155,1981,111.918,109.75,69.047,299.984
31177,1981,106.274,101.448,68.11,295.557
31067,1981,117.291,122.277,138.769,308.656
31109,1981,108.642,116.113,96.767,303.039
31159,1981,98.594,115.544,81.061,300.21
31139,1981,92.113,112.098,99.977,295.248
31119,1981,97.982,110.813,105.954,295.887
31167,1981,106.187,109.332,89.379,296.55
31117,1981,41.324,132.64,100.587,299.336
31111,1981,46.547,132.364,119.509,302.88
31113,1981,37.715,127.919,123.33,300.7
31007,1981,33.388,162.021,97.274,304.25
31157,1981,32.9,167.797,91.885,310.49
31165,1981,31.178,162.908,90.777,305.665
31039,1981,104.213,105.123,74.616,296.052
31129,1981,190.73,123.144,109.492,306.436
31101,1981,62.342,149.507,81.699,307.915
31137,1981,152.941,118.269,158.031,298.344
31181,1981,241.414,122.601,127.06,305.824
